Direccion;Canal;Segmento;Fecha de creacion;Dia de la semana;Numero de semana;Cod Persona;Campaña de referencia
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;48912140;MEDICINA - Pregrado-AC-202701
Inbound;Web;Gracias landing;16/04/2026;jueves;16;8318580;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;44443320;Pregrado-AC-202602 
Outbound;WhatsApp;waprpin404_incial_proximo_periodo_16042026;16/04/2026;jueves;16;25108520;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;49479290;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugfw400_formulario_web_130426;15/04/2026;miércoles;16;49512050;Pregrado-AC-202602 
Outbound;WhatsApp;ugprp646_proximo_periodo_130426;14/04/2026;martes;16;44717070;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;46343360;Pregrado-AC-202602 
Inbound;Redes sociales;Pauta Facebook;17/04/2026;viernes;16;7427840;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;wacoy648_inicial_contactados_y_interesados_15042026;15/04/2026;miércoles;16;8701010;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugles537_leads_semanales_170426;17/04/2026;viernes;16;15811680;Pregrado-AC-202602 
Outbound;WhatsApp;ugfw400_formulario_web_130426;15/04/2026;miércoles;16;49428110;Pregrado-AC-202602 
Inbound;Web;Portal;13/04/2026;lunes;16;49567760;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;18/04/2026;sábado;16;2519220;EPE-FC-202602 - EPE- 202602
Inbound;Web;Portal;18/04/2026;sábado;16;49636140;EPE-FC-202602 - EPE- 202602
Inbound;Web;Gracias landing;19/04/2026;domingo;16;49653820;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugfw400_formulario_web_130426;15/04/2026;miércoles;16;49491450;Pregrado-AC-202602 
Outbound;WhatsApp;wacoy648_inicial_contactados_y_interesados_15042026;15/04/2026;miércoles;16;43020620;EPE-FC-202602 - EPE- 202602
Inbound;Web;Botón Página Principal;13/04/2026;lunes;16;49233500;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;47512650;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;47512650;Pregrado-AC-202602 
Inbound;Web;Gracias landing;17/04/2026;viernes;16;47512650;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;47512650;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;47497890;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;46323870;MEDICINA - Pregrado-AC-202701
Inbound;Web;Botón Página Principal;18/04/2026;sábado;16;42384960;Pregrado-AC-202602 
Outbound;WhatsApp;wafowa459_incre_formulario_web_contactados_16042026;16/04/2026;jueves;16;49553500;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;wacoy648_inicial_contactados_y_interesados_15042026;15/04/2026;miércoles;16;36213180;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;wafowa459_incre_formulario_web_contactados_16042026;16/04/2026;jueves;16;49574340;EPE-FC-202602 - EPE- 202602
Inbound;Web;Botón Página Principal;17/04/2026;viernes;16;49622970;Pregrado-AC-202602 
Inbound;Web;Gracias landing;14/04/2026;martes;16;49579030;EPE-FC-202602 - EPE- 202602
Inbound;Web;Gracias pag Facultad;13/04/2026;lunes;16;45264160;Pregrado-AC-202602 
Inbound;Web;Portal;19/04/2026;domingo;16;35326440;EPE-FC-202602 - EPE- 202602
Inbound;Web;Gracias landing;15/04/2026;miércoles;16;49598890;EPE-FC-202602 - EPE- 202602
Inbound;Web;Botón Página carrera;13/04/2026;lunes;16;37146210;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;37146210;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;49615730;EPE-FC-202602 - EPE- 202602
Inbound;Web;Botón Página Principal;17/04/2026;viernes;16;5677450;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;46300060;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;49472850;Pregrado-AC-202602 
Outbound;WhatsApp;ugraul651_ra_ultimo_periodo_feeder_aaa;17/04/2026;viernes;16;38910240;Pregrado-AC-202602- RA
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;47089540;MEDICINA - Pregrado-AC-202701
Inbound;Web;Portal;19/04/2026;domingo;16;38261700;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;49594960;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;49621830;EPE-FC-202602 - EPE- 202602
Inbound;Web;Botón Pag admisión;15/04/2026;miércoles;16;39934930;Pregrado-AC-202602 
Inbound;Web;Convalidador;14/04/2026;martes;16;49584500;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;waremk650_reciclados_mkt_directo_17042026;18/04/2026;sábado;16;39820280;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;46143400;MEDICINA - Pregrado-AC-202701
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;46143400;Pregrado-AC-202602 
Outbound;WhatsApp;ugraul651_ra_ultimo_periodo_feeder_aaa;17/04/2026;viernes;16;42248510;Pregrado-AC-202602- RA
Outbound;WhatsApp;wacoy648_inicial_contactados_y_interesados_15042026;15/04/2026;miércoles;16;40799570;EPE-FC-202602 - EPE- 202602
Inbound;Web;Convalidador;13/04/2026;lunes;16;49563850;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;49573000;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;49573000;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;48189810;Pregrado-AC-202602 
Inbound;Web;Botón Página Principal;16/04/2026;jueves;16;49548370;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;49548370;Pregrado-AC-202602 
Outbound;WhatsApp;wacoy648_inicial_contactados_y_interesados_15042026;15/04/2026;miércoles;16;20570120;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;19/04/2026;domingo;16;48379060;Pregrado-AC-202602 
Inbound;Web;Gracias landing;14/04/2026;martes;16;44640850;Pregrado-AC-202602 
Inbound;Web;Gracias landing;14/04/2026;martes;16;40826290;Pregrado-AC-202602 
Inbound;Web;Gracias landing;13/04/2026;lunes;16;49573190;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;47833290;MEDICINA - Pregrado-AC-202701
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;43142210;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;45639340;Pregrado-AC-202602 
Inbound;Web;Botón Pag admisión;16/04/2026;jueves;16;46262700;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;48748480;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;42628860;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;49512790;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;42054210;Pregrado-AC-202602 
Outbound;WhatsApp;waremk650_reciclados_mkt_directo_17042026;18/04/2026;sábado;16;40507920;EPE-FC-202602 - EPE- 202602
Inbound;Email;Email bienvenida;18/04/2026;sábado;16;45216130;Pregrado-AC-202602 
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;45112290;MEDICINA - Pregrado-AC-202701
Outbound;WhatsApp;ugfw400_formulario_web_130426;15/04/2026;miércoles;16;28689270;Pregrado-AC-202602 
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;49549660;MEDICINA - Pregrado-AC-202701
Outbound;WhatsApp;ugfw400_formulario_web_130426;15/04/2026;miércoles;16;26421480;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;38259160;Pregrado-AC-202602 
Outbound;WhatsApp;ugpm27_total_pre_medicina_base_preliminar_15042026;15/04/2026;miércoles;16;27658170;MEDICINA - Pregrado-AC-202701
Inbound;Web;Gracias landing;15/04/2026;miércoles;16;49588280;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;49149050;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;49149050;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;49149050;Pregrado-AC-202602 
Inbound;Web;Portal;19/04/2026;domingo;16;29161720;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;wacigen584_inicial_citas_generadas_en_campana_16042026;16/04/2026;jueves;16;26128280;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;8020300;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugpm27_total_pre_medicina_base_preliminar_15042026;15/04/2026;miércoles;16;44707070;MEDICINA - Pregrado-AC-202701
Outbound;WhatsApp;ugpm27_total_pre_medicina_base_preliminar_15042026;15/04/2026;miércoles;16;44707070;MEDICINA - Pregrado-AC-202701
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;46577070;MEDICINA - Pregrado-AC-202701
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;45642350;Pregrado-AC-202602 
Outbound;WhatsApp;ugfowpe647_formulario_web_periodo_anterior_1304;16/04/2026;jueves;16;47084890;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;18/04/2026;sábado;16;49646830;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;21864180;Pregrado-AC-202602 
Inbound;Web;Botón Página Principal;17/04/2026;viernes;16;45636100;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;16919950;EPE-FC-202602 - EPE- 202602
Inbound;Web;Gracias landing;18/04/2026;sábado;16;49642470;Pregrado-AC-202602 
Outbound;WhatsApp;ugpm27_total_pre_medicina_base_preliminar_15042026;15/04/2026;miércoles;16;45184010;MEDICINA - Pregrado-AC-202701
